data/55.400+160;219;560;39.107142857142854;96.553091
data/10.500+50;336;550;61.09090909090909;21.9654
data/9.200-40;101;160;63.125;1.65027
data/113.500-8;306;492;62.19512195121951;1.715254
data/62.400-80;128;320;40.0;15.722365
data/20.300+30;250;330;75.75757575757575;4.064804
data/9.200+20;155;220;70.45454545454545;1.073331
data/25.500+200;404;700;57.714285714285715;256.157178
data/55.300-120;116;180;64.44444444444444;3.985869
data/18.200+20;89;220;40.45454545454545;1.027493
data/55.400-80;106;320;33.125;9.792399
data/68.400+160;293;560;52.32142857142858;111.592085
data/10.500-200;99;300;33.0;28.119828
data/68.400-80;138;320;43.125;13.727269
data/55.300-60;166;240;69.16666666666667;5.147718
data/35.200+20;172;220;78.18181818181819;0.842286
data/62.400+40;150;440;34.090909090909086;9.91926
data/53.500+200;261;700;37.285714285714285;236.384269
data/25.500+50;247;550;44.90909090909091;17.348235
data/62.400+160;212;560;37.857142857142854;85.429837
data/18.200-40;61;160;38.125;1.376985
data/20.300+120;209;420;49.76190476190476;39.884822
data/58.300+120;270;420;64.28571428571429;34.696534
data/58.300-60;91;240;37.916666666666664;6.030651
data/55.300+120;286;420;68.0952380952381;35.611725
data/55.400+40;260;440;59.09090909090909;10.107508
data/35.200+80;96;280;34.285714285714285;5.364596
data/35.200-80;37;120;30.833333333333336;1.18848
data/55.300+30;225;330;68.18181818181817;4.266443
data/18.200+80;109;280;38.92857142857143;9.109753
data/58.300-120;76;180;42.22222222222222;4.294306
data/58.300+30;213;330;64.54545454545455;3.322956
data/68.400-160;56;240;23.333333333333332;12.677199
data/53.500-200;106;300;35.333333333333336;26.049754
data/28.500-18;119;482;24.688796680497926;1.876703
data/25.500-100;212;400;53.0;27.892147
data/25.500-200;135;300;45.0;17.484644
data/10.500-100;212;400;53.0;27.694956
data/35.200-40;118;160;73.75;1.288312
data/55.400-160;94;240;39.166666666666664;9.870515
data/59.500-2;49;498;9.839357429718875;1.289307
data/144.500-12;183;488;37.5;1.552156
data/10.500+200;374;700;53.42857142857142;234.555927
data/62.400-160;89;240;37.083333333333336;8.895566
data/20.300-60;129;240;53.75;4.703318
data/18.200-80;73;120;60.83333333333333;1.16364
data/20.300-120;80;180;44.44444444444444;3.050265
